product_name,overall_rating,no_ratings,no_reviews,rating,brand
msi thin 15 intel core i5 12th gen 12450h - (16 gb/512 gb ssd/...,4.3,1046,95,5,msi
msi thin 15 intel core i5 12th gen 12450h - (16 gb/512 gb ssd/...,4.3,1046,95,5,msi
msi thin 15 intel core i5 12th gen 12450h - (16 gb/512 gb ssd/...,4.3,1046,95,4,msi
msi thin 15 intel core i5 12th gen 12450h - (16 gb/512 gb ssd/...,4.3,1046,95,1,msi
msi thin 15 intel core i5 12th gen 12450h - (16 gb/512 gb ssd/...,4.3,1046,95,5,msi
msi thin 15 intel core i5 12th gen 12450h - (16 gb/512 gb ssd/...,4.3,1046,95,4,msi
msi thin 15 intel core i5 12th gen 12450h - (16 gb/512 gb ssd/...,4.3,1046,95,4,msi
msi thin 15 intel core i5 12th gen 12450h - (16 gb/512 gb ssd/...,4.3,1046,95,3,msi
msi thin 15 intel core i5 12th gen 12450h - (16 gb/512 gb ssd/...,4.3,1046,95,5,msi
msi thin 15 intel core i5 12th gen 12450h - (16 gb/512 gb ssd/...,4.3,1046,95,5,msi
msi thin 15 intel core i5 12th gen 12450h - (16 gb/512 gb ssd/...,4.3,1046,95,5,msi
msi thin 15 intel core i5 12th gen 12450h - (16 gb/512 gb ssd/...,4.3,1046,95,1,msi
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,4,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,4,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,4,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,4,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,3,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,4,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,4,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,3,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,4,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,4,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,4,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
asus rog ally amd ryzen z1 octa core extreme - (16 gb/512 gb s...,4.4,732,118,5,asus
